,business_status,name,place_id,price_level,rating,user_ratings_total
51,OPERATIONAL,Porkiez Bar & Grill,ChIJ8eMBaefbxIkRkbkADuPetKc,,4.4,31.0
52,OPERATIONAL,1046 carmalt st Dickinson city pa,ChIJufzlU2LbxIkR43UVCUkE-V4,,,
53,OPERATIONAL,China One,ChIJ36dPUBfaxIkRhjEG6z4Ega4,1.0,3.9,93.0
54,OPERATIONAL,Carmalt,ChIJsSAOix_axIkRwPG37k0_gpk,,4.8,38.0
55,OPERATIONAL,Gangi Pizza,ChIJi0Q3INXbxIkRKjcM96Wpnm0,,4.5,97.0
56,OPERATIONAL,Lou's Pizza Place,ChIJTeGBIBfaxIkR9UKYDYjfcwo,1.0,4.3,138.0
57,OPERATIONAL,The Bar And Company,ChIJk77-N2LbxIkRhxKYV3ChjbA,,4.6,129.0
58,OPERATIONAL,Aki Asian Restaurant,ChIJAesHjwDbxIkRvd6Hz9Y_FT4,,4.8,98.0
59,OPERATIONAL,Armenti's Pizzeria,ChIJ6ypMIVvaxIkR6rGuFKYSM2g,2.0,4.5,217.0
60,OPERATIONAL,Cafe Lilah,ChIJyzk4-1raxIkRBDNQYlgmh1s,,4.6,72.0
61,OPERATIONAL,Two Chefs On A Roll,ChIJVVVVVbnaxIkRYgVc1E4oq98,,3.8,18.0
62,CLOSED_TEMPORARILY,The Library Pizza - For Sale,ChIJGVpQ84_axIkRfiEp0gTwdQg,,4.1,29.0
63,OPERATIONAL,Pietro's,ChIJfxeYboXaxIkRZgDAcAfL9GI,2.0,4.7,83.0
64,OPERATIONAL,Two Chefs On A Roll,ChIJVVVVVbnaxIkRYgVc1E4oq98,,3.8,18.0
65,OPERATIONAL,"Mid Valley Organics, Inc.",ChIJKxzauzPPxIkR9DOTjw7_BQE,,5.0,2.0
66,OPERATIONAL,"Mid Valley Organics, Inc.",ChIJKxzauzPPxIkR9DOTjw7_BQE,,5.0,2.0
67,OPERATIONAL,Kay's Italian Restaurant,ChIJK9LNzNXHxIkRAGCRVvwRF0w,2.0,4.4,203.0
68,OPERATIONAL,Kay's Italian Restaurant,ChIJK9LNzNXHxIkRAGCRVvwRF0w,2.0,4.4,203.0
69,OPERATIONAL,Rolly's Pizza & Grill,ChIJ0TwGI1C3xIkRi92W89jErLc,1.0,4.3,308.0
70,OPERATIONAL,Rolly's Pizza & Grill,ChIJ0TwGI1C3xIkRi92W89jErLc,1.0,4.3,308.0
71,OPERATIONAL,Tre Sazón Kitchen & Bar,ChIJDbM9h_OxxIkRFRqvHadlAQc,2.0,4.5,107.0
72,OPERATIONAL,Gresham's Chop House,ChIJVfAhzWqwxIkRzugkDFQNcps,2.0,4.5,522.0
73,OPERATIONAL,Dunkin',ChIJU7cRp_CvxIkRYmcound0ZIk,1.0,3.6,354.0
74,OPERATIONAL,Wallenpaupack Brewing Company,ChIJXVB8M0qwxIkRetmENjDHMd8,,4.3,349.0
75,OPERATIONAL,Paupack Diner,ChIJbbk_fM-xxIkRsoJialEyDdI,,3.7,138.0
76,OPERATIONAL,Original Pocono Pizzeria,ChIJuSy9RRGwxIkR_5Pw-3_gVPY,1.0,4.1,63.0
77,OPERATIONAL,Pizza,ChIJTWa0KGuwxIkR2HHaIw7Ygts,,5.0,1.0
78,OPERATIONAL,Gresham's Ice Cream Shoppe,ChIJyfvgKGuwxIkRWYG5iOBEsco,,4.5,104.0
79,OPERATIONAL,The River Restaurant and Bar,ChIJY1CF_zdRw4kRs5CxyXePpsE,,5.0,1.0
80,OPERATIONAL,Spiceville 香村一品,ChIJ9bSmhDg1w4kRriyWmQqys0M,,4.8,19.0
81,OPERATIONAL,Planet Wings,ChIJo5hnFPUyw4kR5B2ZdexqcFU,1.0,3.8,172.0
82,OPERATIONAL,Gino's,ChIJKVKBPPQyw4kR-Oe7VSNhcyA,,4.5,85.0
83,OPERATIONAL,Pho Sai Gon,ChIJlxmon3gzw4kRXZ1ci3m9PMI,,4.5,124.0
84,OPERATIONAL,Caribbean Fried Chicken,ChIJF-w3phUzw4kRWPpM-IG7Oyc,,4.4,16.0
85,OPERATIONAL,Fil-Am Market Corp.,ChIJC55EYOUyw4kRjlKiXsmhw_E,,4.8,62.0
86,OPERATIONAL,The Level Up Spot,ChIJOVRRLOEzw4kRlt41uDdtarg,,,
87,OPERATIONAL,El Salvadoreno Restaurant,ChIJYUfNzoAzw4kR39GH0AM_s_8,,,
88,OPERATIONAL,The bagel corner and cafè,ChIJA7-EFvAyw4kR2gqtDJqlBUc,,4.7,49.0
89,OPERATIONAL,Monhagen deli,ChIJ70IjHYYzw4kRy5PzzV4MKaM,,3.7,3.0
90,OPERATIONAL,Tony Boffa's,ChIJgZ8iJ4cyw4kRSfWcPZRJplc,2.0,4.4,664.0
91,OPERATIONAL,MIX N MAC - Mac & Cheese,ChIJSStNmWQtw4kRRIHiTlLlZ7c,1.0,4.6,738.0
92,OPERATIONAL,Medora Snack Co,ChIJI92FGaAyw4kRw6A_70oZ-Ew,,3.6,38.0
93,OPERATIONAL,Little Caesars Pizza,ChIJJ069fYQyw4kR8aB7ZpppwgI,1.0,4.2,304.0
94,CLOSED_TEMPORARILY,Daddy's Donuts,ChIJC7PZzmItw4kR9clQiyG_wJY,1.0,4.7,281.0
95,OPERATIONAL,Dunkin',ChIJE5n5VaIyw4kRdD8auvs9wK4,1.0,3.7,193.0
96,OPERATIONAL,New China,ChIJC9ZoSd8tw4kRxOZt98EqE6E,1.0,4.3,47.0
97,OPERATIONAL,Blend Smoothie and Salad Bar- Middletown,ChIJHY_fcWMtw4kRpzOXzSBCWKI,1.0,4.2,328.0
98,OPERATIONAL,Yani's Pizza,ChIJe9gaWI8yw4kRlUmKZ02mKgA,,4.1,87.0
99,OPERATIONAL,Pizza E Birra,ChIJs3Vif2Qtw4kRJG9lbrod0ts,2.0,4.5,358.0
